constituency_no,constituency_name,total_electors,general_votes,postal_votes,total_votes,turnout_pct
1,MANJESWAR,,109747,131,109878,
2,KASARAGOD,,99975,204,100179,
3,UDMA,,124228,254,124482,
4,HOSDRUG (SC),,127806,505,128311,
5,TRIKKARPUR,,144015,945,144960,
6,IRIKKUR,,130395,619,131014,
7,PAYYANNUR,,123898,785,124683,
8,TALIPARAMBA,,143444,969,144413,
9,AZHICODE,,101265,444,101709,
10,CANNANORE,,96834,508,97342,
11,EDAKKAD,,124189,802,124991,
12,TELLICHERRY,,100965,517,101482,
13,PERINGALAM,,110992,374,111366,
14,KUTHUPARAMBA,,124373,590,124963,
15,PERAVOOR,,142864,754,143618,
16,NORTH WYNAD (ST),,126374,312,126686,
17,BADAGARA,,118452,478,118930,
18,NADAPURAM,,125543,338,125881,
19,MEPPAYUR,,132909,733,133642,
20,QUILANDY,,127505,697,128202,
21,PERAMBRA,,134577,899,135476,
22,BALUSSERI,,115079,779,115858,
23,KODUVALLY,,134900,960,135860,
24,CALICUT- I,,90783,548,91331,
25,CALICUT- II,,98054,446,98500,
26,BEYPORE,,134817,459,135276,
27,KUNNAMANGALAM (SC),,128695,1043,129738,
28,THIRUVAMBADI,,122503,529,123032,
29,KALPETTA,,113758,272,114030,
30,SULTAN'S BATTERY,,124922,285,125207,
31,WANDOOR (SC),,157572,420,157992,
32,NILAMBUR,,162405,384,162789,
33,MANJERI,,145774,744,146518,
34,MALAPPURAM,,119698,240,119938,
35,KONDOTTY,,142914,724,143638,
36,TIRURANGADI,,115640,174,115814,
37,TANUR,,127421,140,127561,
38,TIRUR,,145823,269,146092,
39,PONNANI,,114173,178,114351,
40,KUTTIPPURAM,,128393,205,128598,
41,MANKADA,,161135,860,161995,
42,PERINTHALMANNA,,144298,850,145148,
43,THRITHALA (SC),,122081,285,122366,
44,PATTAMBI,,125653,284,125937,
45,OTTAPALAM,,113652,245,113897,
46,SREEKRISHNAPURAM,,141338,590,141928,
47,MANNARKKAD,,140853,536,141389,
48,MALAMPUZHA,,116236,588,116824,
49,PALGHAT,,110722,624,111346,
50,CHITTUR,,118527,501,119028,
51,KOLLENGODE,,114348,432,114780,
52,COYALMANNAM (SC),,113418,458,113876,
53,ALATHUR,,111351,261,111612,
54,CHELAKARA (SC),,116829,189,117018,
55,WADAKKANCHERRY,,121494,274,121768,
56,KUNNAMKULAM,,115628,342,115970,
57,CHERPU,,104121,314,104435,
58,TRICHUR,,94711,781,95492,
59,OLLUR,,122447,499,122946,
60,KODAKARA,,113544,348,113892,
61,CHALAKUDI,,95218,411,95629,
62,MALA,,102142,397,102539,
63,IRINJALAKUDA,,115613,495,116108,
64,MANALUR,,98362,297,98659,
65,GURUVAYOOR,,102167,162,102329,
66,NATTIKA,,101131,245,101376,
67,KODUNGALLUR,,114527,427,114954,
68,ANKAMALI,,118186,366,118552,
69,VADAKKEKARA,,109953,362,110315,
70,PARUR,,99706,370,100076,
71,NARAKAL (SC),,96133,242,96375,
72,ERNAKULAM,,86630,155,86785,
73,MATTANCHERRY,,60090,89,60179,
74,PALLURUTHY,,121895,205,122100,
75,TRIPPUNITHURA,,139572,425,139997,
76,ALWAYE,,126763,285,127048,
77,PERUMBAVOOR,,118841,479,119320,
78,KUNNATHUNAD,,117645,418,118063,
79,PIRAVOM,,107459,435,107894,
80,MUVATTUPUZHA,,95435,235,95670,
81,KOTHAMANGALAM,,107122,513,107635,
82,THODUPUZHA,,127265,505,127770,
83,DEVICOLAM (SC),,104507,126,104633,
84,IDUKKI,,111505,315,111820,
85,UDUMBANCHOLA,,130962,205,131167,
86,PEERMADE,,90405,86,90491,
87,KANJIRAPPALLY,,101145,332,101477,
88,VAZHOOR,,81963,217,82180,
89,CHANGANACHERRY,,96484,299,96783,
90,KOTTAYAM,,100043,345,100388,
91,ETTUMANOOR,,96503,425,96928,
92,PUTHUPPALLY,,114877,420,115297,
93,POONJAR,,93494,235,93729,
94,PALAI,,90152,283,90435,
95,KADUTHURUTHY,,92685,347,93032,
96,VAIKOM (SC),,100729,331,101060,
97,AROOR,,117127,356,117483,
98,SHERTHALAI,,107419,477,107896,
99,MARARIKULAM,,140687,746,141433,
