constituency_no,constituency_name,total_electors,general_votes,postal_votes,total_votes,turnout_pct
100,ALLEPPEY,,84327,530,84857,
101,AMBALAPUZHA,,93567,365,93932,
102,KUTTANAD,,83239,221,83460,
103,HARIPAD,,109423,573,109996,
104,KAYAMKULAM,,99114,707,99821,
105,THIRUVALLA,,70985,148,71133,
106,KALLOOPPARA,,71691,172,71863,
107,ARANMULA,,69631,129,69760,
108,CHENGANNUR,,86864,227,87091,
109,MAVELIKARA,,97112,382,97494,
110,PANDALAM (SC),,110966,423,111389,
111,RANNI,,88817,245,89062,
112,PATHANAMTHITTA,,80940,297,81237,
113,KONNI,,93609,353,93962,
114,PATHANAPURAM,,103527,349,103876,
115,PUNALOOR,,113086,347,113433,
116,CHADAYAMANGALAM,,94325,424,94749,
117,KOTTARAKARA,,97604,537,98141,
118,NEDUVATHUR (SC),,98171,682,98853,
119,ADOOR,,93777,326,94103,
120,KUNNATHUR (SC),,114354,475,114829,
121,KARUNAGAPALLY,,101733,504,102237,
122,CHAVARA,,109777,720,110497,
123,KUNDARA,,90849,627,91476,
124,QUILON,,81308,373,81681,
125,ERAVIPURAM,,114650,674,115324,
126,CHATHANOOR,,104084,447,104531,
127,VARKALA,,91832,170,92002,
128,ATTINGAL,,79631,205,79836,
129,KILIMANOOR (SC),,90121,275,90396,
130,VAMANAPURAM,,96432,365,96797,
131,ARIYANAD,,88622,388,89010,
132,NEDUMANGAD,,122055,680,122735,
133,KAZHAKUTTAM,,108899,480,109379,
134,TRIVANDRUM NORTH,,117889,956,118845,
135,TRIVANDRUM WEST,,71556,258,71814,
136,TRIVANDRUM EAST,,80015,481,80496,
137,NEMOM,,119411,571,119982,
138,KOVALAM,,105969,384,106353,
139,NEYYATTINKARA,,106059,356,106415,
140,PARASSALA,,97462,397,97859,
