constituency_no,constituency_name,total_electors,general_votes,postal_votes,total_votes,turnout_pct
120,PATHANAPURAM,172946,127730,637,128367,74.22
121,PUNALUR,189994,132800,445,133245,70.13
122,CHADAYAMANGALAM,177610,126703,726,127429,71.75
123,KUNDARA,178990,126849,1075,127924,71.47
124,KOLLAM,160475,113158,860,114018,71.05
125,ERAVIPURAM,153575,104081,564,104645,68.14
126,CHATHANNUR,160688,113715,583,114298,71.13
127,VARKALA,151930,109901,326,110227,72.55
128,ATTINGAL  (SC),171684,114206,432,114638,66.77
129,CHIRAYINKEEZHU  (SC),169988,112320,283,112603,66.24
130,NEDUMANGAD,175795,123961,946,124907,71.05
131,VAMANAPURAM,174408,122660,716,123376,70.74
132,KAZHAKKOOTTAM,163199,108732,766,109498,67.09
133,VATTIYOORKAVU,175398,111612,1025,112637,64.22
134,THIRUVANANTHAPURAM,177442,106649,443,107092,60.35
135,NEMOM,172493,115914,560,116474,67.52
136,ARUVIKKARA,165638,115772,646,116418,70.28
137,PARASSALA,188442,134690,521,135211,71.75
138,KATTAKKADA,166306,116643,704,117347,70.56
139,KOVALAM,183616,124349,659,125008,68.08
140,NEYYATTINKARA,157851,110888,810,111698,70.76
