constituency_no,constituency_name,total_electors,serial_no,candidate_name,sex,age,category,party,symbol,general_votes,postal_votes,total_votes,vote_pct,winner
136,ARUVIKKARA,165638,5,ADV. POOVATHOOR .S.RAJEEV,M,37,GEN,IND,,972,0,972,0.83,False
136,ARUVIKKARA,165638,6,SANIL V O,M,31,GEN,IND,,913,0,913,0.78,False
136,ARUVIKKARA,165638,7,R.RAJAPPAN,M,60,ST,IND,,753,0,753,0.65,False
136,ARUVIKKARA,165638,8,KARAKULAM SATHYAKUMAR,M,47,GEN,IND,,651,0,651,0.56,False
136,ARUVIKKARA,165638,9,S. SREEKUMAR,M,36,GEN,SUCI,,524,1,525,0.45,False
136,ARUVIKKARA,165638,10,LATHA B VELLUMANNADI,F,30,SC,IND,,244,0,244,0.21,False
137,PARASSALA,188442,1,A.T. GEORGE,M,59,GEN,INC,,60422,156,60578,44.8,True
137,PARASSALA,188442,2,ANAVOOR NAGAPPAN,M,62,GEN,CPM,,59717,356,60073,44.43,False
137,PARASSALA,188442,3,ADV. S. SURESH,M,39,GEN,BJP,,10301,9,10310,7.63,False
137,PARASSALA,188442,4,J.SUDHAKARAN,M,62,SC,BSP,,2269,0,2269,1.68,False
137,PARASSALA,188442,5,T.K.VISWAMBHARAN,M,57,GEN,IND,,1207,0,1207,0.89,False
137,PARASSALA,188442,6,OORUTTUKALA ANIKUMAR,M,38,GEN,SHS,,774,0,774,0.57,False
138,KATTAKKADA,166306,1,N SAKTHAN,M,60,GEN,INC,,52061,307,52368,44.63,True
138,KATTAKKADA,166306,2,ADV. M.V.JAYADALI,F,33,GEN,IND,,39114,338,39452,33.62,False
138,KATTAKKADA,166306,3,P K KRISHNADAS,M,47,GEN,BJP,,22494,56,22550,19.22,False
138,KATTAKKADA,166306,4,VENGODE SUNIL KUMAR,M,41,GEN,BSP,,1302,1,1303,1.11,False
138,KATTAKKADA,166306,5,KATTAKKADA RAJAN,M,36,SC,SDPI,,612,1,613,0.52,False
138,KATTAKKADA,166306,6,S SUJITHRA,F,26,SC,IND,,585,1,586,0.5,False
138,KATTAKKADA,166306,7,MALAYINKEEZH RAJESH,M,57,GEN,IND,,475,0,475,0.4,False
139,KOVALAM,183616,1,JAMEELA PRAKASAM,F,53,GEN,JD(S),,59146,364,59510,47.6,True
139,KOVALAM,183616,2,ADV.GEORGE MERCIER,M,58,GEN,INC,,52023,282,52305,41.84,False
139,KOVALAM,183616,3,VENGANOOR SATHEESH,M,47,GEN,BJP,,9114,13,9127,7.3,False
139,KOVALAM,183616,4,THANKA BAI.T.,F,70,GEN,IND,,1231,0,1231,0.98,False
139,KOVALAM,183616,5,A.M. NIZAM,M,40,GEN,SDPI,,1193,0,1193,0.95,False
139,KOVALAM,183616,6,MURALEEDHARAN,M,42,SC,BSP,,1157,0,1157,0.93,False
139,KOVALAM,183616,7,VAZHAMUTTOM RAJENDRAN,M,55,GEN,DPSP,,485,0,485,0.39,False
140,NEYYATTINKARA,157851,1,R SELVARAJ,M,62,GEN,CPM,,54228,483,54711,48.98,True
140,NEYYATTINKARA,157851,2,THAMPANOOR RAVI,M,61,GEN,INC,,47691,318,48009,42.98,False
140,NEYYATTINKARA,157851,3,ATHIYANNOOR SREEKUMAR,M,48,GEN,BJP,,6723,7,6730,6.03,False
140,NEYYATTINKARA,157851,4,KOVILLOOR.A.BABU,M,52,GEN,BSP,,1167,1,1168,1.05,False
140,NEYYATTINKARA,157851,5,MOHANAN,M,55,GEN,IND,,557,0,557,0.5,False
140,NEYYATTINKARA,157851,6,MANALOOR.B.VASANTHA,F,58,SC,IND,,522,1,523,0.47,False
