Number,Constituency,District,UDF candidate|UDF candidate[3][4],Party,Votes,LDF candidate[5][6][7],Party,Votes,NDA candidate[8][9],Party,Votes,Winner,Margin,Winning party,Winning Alliance
34,Eranad,Malappuram,P. K. Basheer,IUML,78076,K. T. Abdurahman,Ind.,"55,530",Dinesh,BJP,6683,P. K. Basheer,22546,IUML,UDF
35,Nilambur,Malappuram,V. V. Prakash,INC,78527,P. V. Anvar,Ind.,"81,227",T. K. Ashok Kumar,BJP,8595,P. V. Anvar,2700,Ind.,LDF
36,Wandoor (SC),Malappuram,A. P. Anil Kumar,INC,87415,P. Midhuna,CPI(M),71852,P. C. Vijayan,BJP,7057,A. P. Anil Kumar,15563,INC,UDF
37,Manjeri,Malappuram,U. A. Latheef,IUML,78836,P. Dibona Nassar,CPI,"64,263",P. R. Rashmilnath,BJP,11350,U. A. Latheef,14573,IUML,UDF
38,Perinthalmanna,Malappuram,Najeeb Kanthapuram,IUML,76530,K. P. Mustafa,Ind.,"76,492",Suchithra Mattada,BJP,8021,Najeeb Kanthapuram,38,IUML,UDF
39,Mankada,Malappuram,Manjalamkuzhi Ali,IUML,83231,T. K. Rasheed Ali,CPI(M),"76,985",Sajesh Elayil,BJP,6641,Manjalamkuzhi Ali,6246,IUML,UDF
40,Malappuram,Malappuram,P. Ubaidulla,IUML,93166,P. Abdurahman,CPI(M),"57,958",Sethumadhavan,BJP,5883,P. Ubaidulla,35208,IUML,UDF
41,Vengara,Malappuram,P. K. Kunhalikutty,IUML,70193,P. Jiji,CPI(M),"39,671",Preman,BJP,5938,P. K. Kunhalikutty,30522,IUML,UDF
42,Vallikunnu,Malappuram,P. Abdul Hameed,IUML,71823,A. P. Abdul Wahab,INL,"57,707",Peethambaran Palat,BJP,19853,P. Abdul Hameed,14116,IUML,UDF
43,Tirurangadi,Malappuram,K. P. A. Majeed,IUML,73499,Niyas Pulikkalakath,Ind.,"63,921",Sathar Haji,BJP,8314,K. P. A. Majeed,9578,IUML,UDF
44,Tanur,Malappuram,P. K. Firos,IUML,69719,V. Abdurahman,NSC,"70,704",Narayanan,BJP,10590,V. Abdurahman,985,NSC,LDF
45,Tirur,Malappuram,Kurukkoli Moideen,IUML,85314,Ghafoor P. Lillis,CPI(M),"75,100",M. Abdul Salam,BJP,9097,Kurukkoli Moideen,7214,IUML,UDF
46,Kottakkal,Malappuram,K. K. Abid Hussain Thangal,IUML,81700,N. A. Muhammad Kutty,NCP,"65,112",P. P. Ganesan,BJP,10796,K. K. Abid Hussain Thangal,16588,IUML,UDF
47,Thavanur,Malappuram,Firoz Kunnumparambil,INC,67794,K. T. Jaleel,Ind.,"70,358",Ramesh Kottayipuram,BDJS,9914,K. T. Jaleel,2564,Ind.,LDF
48,Ponnani,Malappuram,A. M. Rohit,INC,57625,P. Nandakumar,CPI(M),"74,668",Subrahmanian Chungappalli,BDJS,7419,P. Nandakumar,17043,CPI(M),LDF
49,Thrithala,Palakkad,V. T. Balram,INC,66798,M. B. Rajesh,CPI(M),"69,814",Sanku T. Das,BJP,12851,M. B. Rajesh,3016,CPI(M),LDF
50,Pattambi,Palakkad,Riyas Mukkoli,INC,57337,Muhammed Muhsin,CPI,"75,311",K. M. Haridas,BJP,14578,Muhammed Muhsin,17974,CPI,LDF
51,Shornur,Palakkad,T. H. Feroz Babu,INC,37726,P. Mammikutty,CPI(M),"74,400",G. Sandeep Warrier,BJP,36973,P. Mammikutty,36674,CPI(M),LDF
52,Ottappalam,Palakkad,P. Sarin,INC,59707,K. Premkumar,CPI(M),"74,859",P. Venugopal,BJP,25056,K. Premkumar,15152,CPI(M),LDF
53,Kongad (SC),Palakkad,U. C. Raman,IUML,40662,K. Shanthakumari,CPI(M),67881,M. Suresh Babu,BJP,27661,K. Shanthakumari,27219,CPI(M),LDF
54,Mannarkkad,Palakkad,N. Shamsudheen,IUML,71657,K. P. Suresh Raj,CPI,"65,787",B. Naseema,AIADMK,10376,N. Shamsudheen,5870,IUML,UDF
55,Malampuzha,Palakkad,S. K. Anandakrishnan,INC,35444,A. Prabhakaran,CPI(M),"75,934",C. Krishnakumar,BJP,50200,A. Prabhakaran,25734,CPI(M),LDF
56,Palakkad,Palakkad,Shafi Parambil,INC,54079,C. P. Pramod,CPI(M),"36,433",E. Sreedharan,BJP,50220,Shafi Parambil,3859,INC,UDF
57,Tarur (SC),Palakkad,K. A. Sheeba,INC,43213,P. P. Sumod,CPI(M),"67,744",K. P. Jayaprakash,BJP,18465,P. P. Sumod,24531,CPI(M),LDF
58,Chittur,Palakkad,Sumesh Achuthan,INC,50794,K. Krishnankutty,JD(S),"84,672",V. Natesan,BJP,14458,K. Krishnankutty,33878,JD(S),LDF
59,Nenmara,Palakkad,C. N. Vijayakrishnan,CMP(J),51441,K. Babu,CPI(M),"80,145",A. N. Anurag,BDJS,16666,K. Babu,28074,CPI(M),LDF
60,Alathur,Palakkad,Palayam Predeep,INC,40535,K. D. Prasenan,CPI(M),"74,653",Prashanth Sivan,BJP,18349,K. D. Prasenan,34118,CPI(M),LDF
61,Chelakkara (SC),Thrissur,C. C. Sreekumar,INC,44015,K. Radhakrishnan,CPI(M),"83,415",Shajumon Vattekkad,BJP,24045,K. Radhakrishnan,39400,CPI(M),LDF
62,Kunnamkulam,Thrissur,K. Jayasankar,INC,48901,A. C. Moideen,CPI(M),"75,532",K. K. Aneeshkumar,BJP,27833,A. C. Moideen,26631,CPI(M),LDF
63,Guruvayoor,Thrissur,K. N. A. Khader,IUML,58804,N. K. Akbar,CPI(M),"77,072",Dileep Nair*,DSJP,6294,N. K. Akbar,18268,CPI(M),LDF
64,Manalur,Thrissur,Vijay Hari,INC,48461,Murali Perunelly,CPI(M),"78,337",A. N. Radhakrishnan,BJP,36566,Murali Perunelly,29876,CPI(M),LDF
65,Wadakkanchery,Thrissur,Anil Akkara,INC,65858,Xavier Chittilappilly,CPI(M),"81,026",T. S. Ullas Babu,BJP,21747,Xavier Chittilappilly,15168,CPI(M),LDF
66,Ollur,Thrissur,Jose Valloor,INC,55151,K. Rajan,CPI,76657,B. Gopalakrishnan,BJP,22295,K. Rajan,21506,CPI,LDF
67,Thrissur,Thrissur,Padmaja Venugopal,INC,43317,P. Balachandran,CPI,"44,263",Suresh Gopi,BJP,40457,P. Balachandran,946,CPI,LDF
68,Nattika (SC),Thrissur,Sunil Lalur,INC,44499,C. C. Mukundan,CPI,"72,930",A. K. Lochanan,BJP,33716,C. C. Mukundan,28431,CPI,LDF
69,Kaipamangalam,Thrissur,Sobha Subin,INC,50463,E. T. Taison,CPI,"73,161",C. D. Srilal,BDJS,9066,E. T. Taison,22698,CPI,LDF
70,Irinjalakuda,Thrissur,Thomas Unniyadan,KC,56544,R. Bindu,CPI(M),"62,493",Jacob Thomas,BJP,34329,R. Bindu,5949,CPI(M),LDF
71,Puthukkad,Thrissur,Sunil Anthikad,INC,46012,K. K. Ramachandran,CPI(M),"73,365",A. Nagesh,BJP,34893,K. K. Ramachandran,27353,CPI(M),LDF
72,Chalakudy,Thrissur,T. J. Saneesh Kumar Joseph,INC,61888,Dennis Antony,KC(M),"60,831",Unnikrishnan,BDJS,17301,T. J. Saneesh Kumar Joseph,1057,INC,UDF
73,Kodungallur,Thrissur,M. P. Jackson,INC,47564,V. R. Sunil Kumar,CPI,"71,457",Santhosh Chirakulam,BJP,28204,V. R. Sunil Kumar,23893,CPI,LDF
74,Perumbavoor,Ernakulam,Eldhose Kunnappilly,INC,53484,Babu Joseph,KC(M),"50,585",T. P. Sindhu Mol,BJP,15135,Eldhose Kunnappilly,2899,INC,UDF
75,Angamaly,Ernakulam,Roji M. John,INC,71562,Jose Thettayil,JD(S),"55,633",K. V. Sabu,BJP,8677,Roji M. John,15929,INC,UDF
76,Aluva,Ernakulam,Anwar Sadath,INC,73703,Shelna Nishad,CPI(M),"54,817",M. N. Gopi,BJP,15893,Anwar Sadath,18886,INC,UDF
77,Kalamassery,Ernakulam,V. E. Gafoor,IUML,61805,P. Rajeev,CPI(M),"77,141",P. S. Jayarajan,BDJS,11179,P. Rajeev,15336,CPI(M),LDF
78,Paravur,Ernakulam,V. D. Satheesan,INC,82264,M. T. Nixon,CPI,"60,963",A. B. Jayaprakash,BDJS,12964,V. D. Satheesan,21301,INC,UDF
79,Vypin,Ernakulam,Deepak Joy,INC,45657,K. N. Unnikrishnan,CPI(M),"53,858",K. S. Shyju,BJP,13540,K. N. Unnikrishnan,8201,CPI(M),LDF
80,Kochi,Ernakulam,Tony Chammany,INC,40553,K. J. Maxi,CPI(M),54632,C.G. Rajagopal,BJP,10991,K. J. Maxi,14079,CPI(M),LDF
81,Thripunithura,Ernakulam,K. Babu,INC,65875,M. Swaraj,CPI(M),"64,883",K. S. Radhakrishnan,BJP,23756,K. Babu,992,INC,UDF
82,Ernakulam,Ernakulam,T. J. Vinod,INC,45390,Shaji George,Ind.,"34,960",Padmaja S. Menon,BJP,16043,T. J. Vinod,10970,INC,UDF
83,Thrikkakara,Ernakulam,P. T. Thomas,INC,59839,J. Jacob,CPI(M),"45,510",S. Saji,BJP,15483,P. T. Thomas,14329,INC,UDF
84,Kunnathunad (SC),Ernakulam,V. P. Sajeendran,INC,49636,P. V. Sreejin,CPI(M),"52,351",Renu Suresh,BJP,7218,P. V. Sreejin,2715,CPI(M),LDF
85,Piravom,Ernakulam,Anoop Jacob,KC(J),85056,Sindhumol Jacob,KC(M),"59,692",M. A. Ashish,BJP,11021,Anoop Jacob,25364,KC(J),UDF
86,Muvattupuzha,Ernakulam,Mathew Kuzhalnadan,INC,64425,Eldo Abraham,CPI,"58,264",Jiji Joseph,BJP,7527,Mathew Kuzhalnadan,6161,INC,UDF
