constituency_no,constituency_name,total_electors,serial_no,candidate_name,sex,age,category,party,symbol,general_votes,postal_votes,total_votes,vote_pct,winner
1,MANJESWAR,,1,C H KUNHAMBU,M,47,GEN,CPI(M),,39197,45,39242,,True
1,MANJESWAR,,2,ADV. M NARAYANA BHAT,M,55,GEN,BJP,,34352,61,34413,,False
1,MANJESWAR,,3,CHERKALAM ABDULLAH,M,63,GEN,MUL,,34162,24,34186,,False
1,MANJESWAR,,4,MADHAVA MANJESHWAR,M,53,SC,BSP,,2036,1,2037,,False
2,KASARAGOD,,1,C T AHAMEDALI,M,62,GEN,MUL,,38725,49,38774,,True
2,KASARAGOD,,2,V RAVINDRAN,M,56,GEN,BJP,,28347,85,28432,,False
2,KASARAGOD,,3,N A NELLIKKUNNU,M,52,GEN,INL,,27721,69,27790,,False
2,KASARAGOD,,4,T A AHAMMED,M,43,GEN,IND,,2719,0,2719,,False
2,KASARAGOD,,5,RAJARATNA KOTEVALAP,M,46,SC,BSP,,1318,1,1319,,False
2,KASARAGOD,,6,ABBAS MUTHALAPPARA,M,43,GEN,IND,,1145,0,1145,,False
3,UDMA,,1,K V KUNHIRAMAN,M,45,GEN,CPI(M),,69058,163,69221,,True
3,UDMA,,2,P GANGADHARAN NAIR,M,65,GEN,INC,,41847,80,41927,,False
3,UDMA,,3,ADV. B RAVEENDRAN NAIR,M,40,GEN,BJP,,11106,11,11117,,False
3,UDMA,,4,ABDULLA,M,40,GEN,IND,,1212,0,1212,,False
3,UDMA,,5,N. MANI,M,55,SC,BSP,,1005,0,1005,,False
4,HOSDRUG (SC),,1,PALLIPRAM BALAN,M,64,SC,CPI,,71401,350,71751,,True
4,HOSDRUG (SC),,2,P RAMACHANDRAN,M,50,SC,DIC,,36676,136,36812,,False
4,HOSDRUG (SC),,3,C K VALSALAN,M,38,SC,BJP,,11258,14,11272,,False
4,HOSDRUG (SC),,4,K C KUNJUKOCHU MASTER,M,60,SC,BSP,,2778,5,2783,,False
4,HOSDRUG (SC),,5,C RAGHAVAN,M,31,SC,IND,,2467,0,2467,,False
4,HOSDRUG (SC),,6,K V RAMACHANDRAN,M,50,SC,IND,,1696,0,1696,,False
4,HOSDRUG (SC),,7,P K RAMAN,M,46,SC,IND,,1530,0,1530,,False
5,TRIKKARPUR,,1,KUNHIRAMAN K,M,63,GEN,CPI(M),,80366,684,81050,,True
5,TRIKKARPUR,,2,ADV. VAMANA KUMAR A V,M,42,GEN,INC,,56970,252,57222,,False
5,TRIKKARPUR,,3,KUNHIRAMAN T,M,48,GEN,BJP,,4158,6,4164,,False
5,TRIKKARPUR,,4,HARIDAS P,M,37,SC,IND,,1108,1,1109,,False
5,TRIKKARPUR,,5,THAMPAN A.K,M,44,SC,IND,,761,1,762,,False
5,TRIKKARPUR,,6,BALAKRISHNAN U,M,54,SC,BSP,,652,1,653,,False
6,IRIKKUR,,1,ADVOCATE K C JOSEPH,M,59,GEN,INC,,63400,249,63649,,True
6,IRIKKUR,,2,JAMES MATHEW,M,45,GEN,CPI(M),,61455,363,61818,,False
6,IRIKKUR,,3,ANIAMMA RAJENDRAN,F,40,GEN,BJP,,3034,7,3041,,False
6,IRIKKUR,,4,K C JOSEPH,M,53,GEN,IND,,1387,0,1387,,False
6,IRIKKUR,,5,M K JAYARAJAN,M,42,GEN,IND,,592,0,592,,False
6,IRIKKUR,,6,THANKACHAN,M,42,GEN,IND,,527,0,527,,False
7,PAYYANNUR,,1,P K SREEMATHI TEACHER,F,56,GEN,CPI(M),,76400,574,76974,,True
7,PAYYANNUR,,2,K SURENDRAN,M,54,GEN,INC,,40665,187,40852,,False
7,PAYYANNUR,,3,A K RAJAGOPALAN MASTER,M,58,GEN,BJP,,4633,12,4645,,False
7,PAYYANNUR,,4,K DEVI,F,45,GEN,IND,,2200,12,2212,,False
8,TALIPARAMBA,,1,C.K.P PADMANABHAN,M,56,GEN,CPI(M),,82307,687,82994,,True
8,TALIPARAMBA,,2,CHANDRAN THILLANKERI,M,38,GEN,INC,,53194,262,53456,,False
8,TALIPARAMBA,,3,ADVOCATE A.V.KESAVAN,M,35,GEN,BJP,,5275,19,5294,,False
8,TALIPARAMBA,,4,MADHU.S.VAYANAL,M,49,GEN,BSP,,931,1,932,,False
8,TALIPARAMBA,,5,PRABHAKARAN,M,51,GEN,IND,,932,0,932,,False
8,TALIPARAMBA,,6,CHANDRAN CHALIL,M,45,GEN,IND,,805,0,805,,False
9,AZHICODE,,1,M PRAKASAN MASTER,M,47,GEN,CPI(M),,62441,327,62768,,True
9,AZHICODE,,2,K K NANU,M,66,GEN,CMPKSC,,33198,102,33300,,False
9,AZHICODE,,3,ADV.SREEKANTH RAVIVARMA,M,38,GEN,BJP,,3615,10,3625,,False
9,AZHICODE,,4,C BALAKRISHNAN,M,49,SC,BSP,,1118,4,1122,,False
9,AZHICODE,,5,T KUNHAMBU,M,42,SC,IND,,893,1,894,,False
10,CANNANORE,,1,K SUDHAKARAN S/O RAMUNNI,M,57,GEN,INC,,49508,237,49745,,True
10,CANNANORE,,2,K P SAHADEVAN,M,68,GEN,CPI(M),,40877,255,41132,,False
10,CANNANORE,,3,BHAGYASEELAN CHALAD,M,52,GEN,BJP,,4505,14,4519,,False
10,CANNANORE,,4,K SUDHAKARAN S/O GOVINDAN,M,43,GEN,IND,,671,0,671,,False
10,CANNANORE,,5,V RATHNAKARAN,M,58,SC,IND,,512,1,513,,False
10,CANNANORE,,6,SAHADEVAN,M,63,GEN,IND,,477,0,477,,False
10,CANNANORE,,7,SATHEESH PAMBAN,M,54,GEN,IND,,284,1,285,,False
11,EDAKKAD,,1,RAMACHANDRAN KADANNAPALLY,M,61,GEN,C(S),,72046,533,72579,,True
11,EDAKKAD,,2,K C KADAMBOORAN,M,65,GEN,DIC,,41660,247,41907,,False
11,EDAKKAD,,3,N K E CHANDRASEKHARAN MASTER,M,64,GEN,BJP,,4312,22,4334,,False
11,EDAKKAD,,4,M V PRADEEP KUMAR,M,47,GEN,IND,,3471,0,3471,,False
11,EDAKKAD,,5,C M RAMACHANDRAN,M,48,GEN,IND,,2700,0,2700,,False
12,TELLICHERRY,,1,KODIYERI BALAKRISHNAN,M,52,GEN,CPI(M),,53587,320,53907,,True
12,TELLICHERRY,,2,RAJ MOHAN UNNITHAN,M,52,GEN,INC,,43662,190,43852,,False
12,TELLICHERRY,,3,SATHYA PRAKASHAN,M,39,GEN,BJP,,2582,7,2589,,False
12,TELLICHERRY,,4,RAJAGOPALAN UNNITHAN,M,40,GEN,IND,,538,0,538,,False
12,TELLICHERRY,,5,SAJEEVAN PARAMBAN,M,34,SC,BSP,,356,0,356,,False
12,TELLICHERRY,,6,K BALAKRISHNAN,M,39,GEN,IND,,240,0,240,,False
13,PERINGALAM,,1,K P MOHANAN S/O P R KURUP,M,56,GEN,JD(S),,57566,274,57840,,True
13,PERINGALAM,,2,ABDUL KHADER S/O MUHAMMED,M,68,GEN,MUL,,38518,86,38604,,False
13,PERINGALAM,,3,A.ASHOKAN,M,40,GEN,BJP,,9368,13,9381,,False
13,PERINGALAM,,4,MOHANAN S/O POKKAN,M,37,GEN,IND,,2684,0,2684,,False
13,PERINGALAM,,5,MOHANAN S/O KUMARAN,M,34,GEN,IND,,1082,0,1082,,False
13,PERINGALAM,,6,ABDUL KHADER K P S/O MOIDEEN HAJI,M,62,GEN,IND,,932,0,932,,False
13,PERINGALAM,,7,ABDUL KHADER MUSALIYAR S/O MAMMY MUSALIYAR,M,78,GEN,IND,,842,1,843,,False
14,KUTHUPARAMBA,,1,P JAYARAJAN,M,53,GEN,CPI(M),,77839,407,78246,,True
14,KUTHUPARAMBA,,2,ADV.SAJEEV JOSEPH,M,34,GEN,INC,,39747,172,39919,,False
14,KUTHUPARAMBA,,3,ADV.M K RANJITH,M,51,GEN,BJP,,5259,10,5269,,False
14,KUTHUPARAMBA,,4,SAJI JOSEPH,M,27,GEN,IND,,954,0,954,,False
14,KUTHUPARAMBA,,5,JAYARAJ K G,M,29,GEN,IND,,574,1,575,,False
15,PERAVOOR,,1,K K SHYLAJA TEACHER,F,47,GEN,CPI(M),,71678,387,72065,,True
15,PERAVOOR,,2,PROFESSOR A.D MUSTAFA,M,60,GEN,INC,,62612,354,62966,,False
15,PERAVOOR,,3,M G RAMAKRISHNAN,M,62,GEN,BJP,,5142,10,5152,,False
15,PERAVOOR,,4,MUSTAFFA,M,26,GEN,IND,,1372,2,1374,,False
15,PERAVOOR,,5,K K SHYLA,F,39,SC,IND,,1317,0,1317,,False
15,PERAVOOR,,6,RADHAMANI NARAYANAKUMAR,F,34,GEN,IND,,743,1,744,,False
16,NORTH WYNAD (ST),,1,K C KUNHIRAMAN,M,46,ST,CPI(M),,61756,214,61970,,True
16,NORTH WYNAD (ST),,2,P.BALAN,M,31,ST,MUL,,46764,91,46855,,False
16,NORTH WYNAD (ST),,3,P.RAMACHANDRAN,M,57,ST,BJP,,6184,3,6187,,False
16,NORTH WYNAD (ST),,4,BALAN E V,M,27,ST,IND,,2751,2,2753,,False
16,NORTH WYNAD (ST),,5,C K JANU,F,38,ST,IND,,2383,1,2384,,False
16,NORTH WYNAD (ST),,6,V.C. APPAYYAN,M,64,ST,BSP,,1997,1,1998,,False
16,NORTH WYNAD (ST),,7,C P MADHAVAN,M,56,ST,IND,,1924,0,1924,,False
16,NORTH WYNAD (ST),,8,LISSY.P.JOSEPH,F,38,ST,LJP,,1019,0,1019,,False
16,NORTH WYNAD (ST),,9,A K BALAN,M,35,ST,IND,,799,0,799,,False
16,NORTH WYNAD (ST),,0,K.A.KUNHIRAMAN,M,25,ST,IND,,797,0,7971,,False
17,BADAGARA,,1,ADVOCATE M K PREMNATH,M,51,GEN,JD(S),,64575,357,64932,,True
17,BADAGARA,,2,PONNARATH BALAKRISHNAN,M,56,GEN,INC,,43550,113,43663,,False
17,BADAGARA,,3,P M ASOKAN,M,60,GEN,BJP,,7324,7,7331,,False
17,BADAGARA,,4,EDACHERY DASAN,M,47,GEN,IND,,1755,0,1755,,False
17,BADAGARA,,5,P BHARATHAN,M,63,GEN,BSP,,1248,1,1249,,False
18,NADAPURAM,,1,BINOY VISWAM,M,50,GEN,CPI,,66926,212,67138,,True
18,NADAPURAM,,2,ADVOCATE M VEERANKUTTY,M,58,GEN,INC,,49568,121,49689,,False
18,NADAPURAM,,3,ADVOCATE PRAKASH BABU,M,27,GEN,BJP,,6345,5,6350,,False
18,NADAPURAM,,4,P P SUDHAKARAN,M,39,SC,IND,,1566,0,1566,,False
18,NADAPURAM,,5,K SASEENDRAN,M,37,SC,BSP,,1138,0,1138,,False
19,MEPPAYUR,,1,K K LATHIKA,F,44,GEN,CPI(M),,69888,481,70369,,True
19,MEPPAYUR,,2,T T ISMAIL,M,42,GEN,MUL,,54239,243,54482,,False
19,MEPPAYUR,,3,T K PRABHAKARAN MASTER,M,49,GEN,BJP,,5362,8,5370,,False
19,MEPPAYUR,,4,M K RAJAN,M,40,GEN,IND,,1289,0,1289,,False
19,MEPPAYUR,,5,ISMAIL P T,M,28,GEN,IND,,726,0,726,,False
19,MEPPAYUR,,6,T V GEETHA,F,38,GEN,BSP,,572,0,572,,False
19,MEPPAYUR,,7,KALANTHAN HAJI,M,67,GEN,IND,,302,1,303,,False
19,MEPPAYUR,,8,E C JANAKI,F,54,GEN,IND,,289,0,289,,False
19,MEPPAYUR,,9,RAJAN UMMAR KANDY,M,50,GEN,IND,,242,0,242,,False
20,QUILANDY,,1,P VISWAN,M,55,GEN,CPI(M),,64978,536,65514,,True
20,QUILANDY,,2,ADVOCATE P SANKARAN,M,58,GEN,DIC,,46893,137,47030,,False
20,QUILANDY,,3,V V RAJAN,M,49,GEN,BJP,,8407,23,8430,,False
20,QUILANDY,,4,ARANGIL NANGILLERY GOPINATHAN,M,59,GEN,IND,,2629,0,2629,,False
20,QUILANDY,,5,P SANKARAN,M,38,GEN,IND,,1393,1,1394,,False
20,QUILANDY,,6,K T BALAN,M,67,SC,BSP,,1258,0,1258,,False
20,QUILANDY,,7,NOCHIYIL P APPUNNINAIR,M,61,GEN,IND,,1144,0,1144,,False
20,QUILANDY,,8,P VISWANATHAN,M,42,GEN,IND,,803,0,803,,False
21,PERAMBRA,,1,K KUNHAMMED MASTER,M,56,GEN,CPI(M),,68411,593,69004,,True
21,PERAMBRA,,2,JAMES THEKKANADAN,M,30,GEN,KEC(M),,58070,294,58364,,False
21,PERAMBRA,,3,DR.RAJAN K ADIYODI,M,49,GEN,BJP,,5226,8,5234,,False
21,PERAMBRA,,4,K K BALAKRISHNAN,M,57,SC,BSP,,787,0,787,,False
21,PERAMBRA,,5,PRAKASAN KAPPUMMAL,M,40,GEN,IND,,726,0,726,,False
