constituency_no,constituency_name,total_electors,serial_no,candidate_name,sex,age,category,party,symbol,general_votes,postal_votes,total_votes,vote_pct,winner
51,SHORNUR,194287,2,FIROZ BABU.T.H,MALE,34,GENERAL,INC,Hand,36940,786,37726,24.83,FALSE
51,SHORNUR,194287,3,SANDEEP VARIER,MALE,38,GENERAL,BJP,Lotus,36317,656,36973,24.34,FALSE
51,SHORNUR,194287,4,MUHAMMAD MUSTHAFA,MALE,34,GENERAL,SDPI,Scissors,1242,9,1251,0.82,FALSE
51,SHORNUR,194287,5,AYYAPPAN KUTTY. T.C.,MALE,41,SC,BSP,Elephant,875,8,883,0.58,FALSE
51,SHORNUR,194287,,NOTA,,,,NOTA,NOTA,668,10,678,0.45,FALSE
52,OTTAPALAM,208304,1,Adv. K. PREMKUMAR,MALE,42,GENERAL,CPI(M),"Hammer, Sickle and Star",72977,1882,74859,46.45,TRUE
52,OTTAPALAM,208304,2,DOCTOR P. SARIN,MALE,37,GENERAL,INC,Hand,58399,1308,59707,37.05,FALSE
52,OTTAPALAM,208304,3,P. VENUGOPALAN,MALE,51,GENERAL,BJP,Lotus,24516,540,25056,15.55,FALSE
52,OTTAPALAM,208304,,NOTA,,,,NOTA,NOTA,852,15,867,0.54,FALSE
52,OTTAPALAM,208304,5,P.P. SIVAN,MALE,53,SC,BSP,Elephant,654,18,672,0.42,FALSE
53,KONGAD,181747,1,Santhakumari K,FEMALE,49,SC,CPI(M),"Hammer, Sickle and Star",66683,1198,67881,49.01,TRUE
53,KONGAD,181747,2,U C Raman,MALE,55,SC,IUML,Ladder,40046,616,40662,29.36,FALSE
53,KONGAD,181747,3,Suresh Babu M,MALE,36,SC,BJP,Lotus,27223,438,27661,19.97,FALSE
53,KONGAD,181747,4,Guruvayoorappan P E,MALE,60,SC,BSP,Elephant,1321,30,1351,0.98,FALSE
53,KONGAD,181747,,NOTA,,,,NOTA,NOTA,932,21,953,0.69,FALSE
54,MANNARKAD,198421,1,ADVOCATE. N. SAMSUDHEEN,MALE,51,GENERAL,IUML,Ladder,70448,1209,71657,47.11,TRUE
54,MANNARKAD,198421,2,K. P. SURESH RAJ,MALE,50,GENERAL,CPI,Ears of Corn And Sickle,64621,1166,65787,43.25,FALSE
54,MANNARKAD,198421,3,AGALI NASEEMA P,FEMALE,44,GENERAL,ADMK,Hat,10282,94,10376,6.82,FALSE
54,MANNARKAD,198421,4,JAMES MASH,MALE,59,GENERAL,IND,Pineapple,968,20,988,0.65,FALSE
54,MANNARKAD,198421,5,SIVADASAN,MALE,43,SC,BSP,Elephant,813,14,827,0.54,FALSE
54,MANNARKAD,198421,,NOTA,,,,NOTA,NOTA,753,7,760,0.5,FALSE
54,MANNARKAD,198421,7,SHAMSUDDEEN S/o. HAMZA,MALE,29,GENERAL,IND,Boat with Man and Sail,479,32,511,0.34,FALSE
54,MANNARKAD,198421,8,SURESH,MALE,30,GENERAL,IND,Kettle,433,7,440,0.29,FALSE
54,MANNARKAD,198421,9,SURESH BABU,MALE,30,GENERAL,IND,Dish Antenna,303,1,304,0.2,FALSE
54,MANNARKAD,198421,10,SHAMSUDDEEN S/o. YUSAF,MALE,42,GENERAL,IND,Window,184,8,192,0.13,FALSE
54,MANNARKAD,198421,11,AJIKUMAR,MALE,51,GENERAL,IND,Gas Cylinder,157,2,159,0.1,FALSE
54,MANNARKAD,198421,12,SHIBU GEORGE,MALE,40,GENERAL,IND,Auto- Rickshaw,97,4,101,0.07,FALSE
55,MALAMPUZHA,213746,1,A. PRABHAKARAN,MALE,69,GENERAL,CPI(M),"Hammer, Sickle and Star",74096,1838,75934,46.41,TRUE
55,MALAMPUZHA,213746,2,KRISHNAKUMAR.C,MALE,50,GENERAL,BJP,Lotus,49301,899,50200,30.68,FALSE
55,MALAMPUZHA,213746,3,S. K. Ananthakrishnan,MALE,58,GENERAL,INC,Hand,34611,833,35444,21.66,FALSE
55,MALAMPUZHA,213746,,NOTA,,,,NOTA,NOTA,1041,13,1054,0.64,FALSE
55,MALAMPUZHA,213746,5,K.PRASAD,MALE,38,GENERAL,SUCI,Battery torch,550,5,555,0.34,FALSE
55,MALAMPUZHA,213746,6,ABDUL RAHEEM. S,MALE,39,GENERAL,IND,Pineapple,412,6,418,0.26,FALSE
56,PALAKKAD,188789,1,SHAFI PARAMBIL,MALE,38,GENERAL,INC,Hand,53080,999,54079,38.06,TRUE
56,PALAKKAD,188789,2,E. SREEDHARAN,MALE,88,GENERAL,BJP,Lotus,49155,1065,50220,35.34,FALSE
56,PALAKKAD,188789,3,Adv. C.P. PROMOD,MALE,53,GENERAL,CPI(M),"Hammer, Sickle and Star",35622,811,36433,25.64,FALSE
56,PALAKKAD,188789,,NOTA,,,,NOTA,NOTA,514,14,528,0.37,FALSE
56,PALAKKAD,188789,5,E.T.K. VALSAN,MALE,56,SC,BSP,Elephant,348,11,359,0.25,FALSE
56,PALAKKAD,188789,6,JAYAPRAKASH. J,MALE,50,GENERAL,SMFB,Crane,217,4,221,0.16,FALSE
56,PALAKKAD,188789,7,V. SACHIDANANDAN,MALE,50,GENERAL,IND,Pineapple,152,7,159,0.11,FALSE
56,PALAKKAD,188789,8,K. RAJESH,MALE,35,GENERAL,ABHM,COCONUT FARM,104,1,105,0.07,FALSE
57,TARUR,170733,1,P.P.SUMOD,MALE,37,SC,CPI(M),"Hammer, Sickle and Star",66560,1184,67744,51.58,TRUE
57,TARUR,170733,2,K.A.SHEEBA,FEMALE,38,SC,INC,Hand,42271,942,43213,32.9,FALSE
57,TARUR,170733,3,JAYAPRAKASAN K.P.,MALE,44,SC,BJP,Lotus,18237,228,18465,14.06,FALSE
57,TARUR,170733,4,C.A.USHAKUMARI,FEMALE,49,SC,WPOI,Gas Cylinder,956,29,985,0.75,FALSE
57,TARUR,170733,,NOTA,,,,NOTA,NOTA,928,12,940,0.72,FALSE
58,CHITTUR,189510,1,K. KRISHNANKUTTY,MALE,76,GENERAL,JD(S),A lady farmer carrying paddy on her head,82816,1856,84672,55.38,TRUE
58,CHITTUR,189510,2,Adv. SUMESH ACHUTHAN,MALE,45,GENERAL,INC,Hand,49724,1070,50794,33.22,FALSE
58,CHITTUR,189510,3,V. NATESAN,MALE,51,GENERAL,BJP,Lotus,14257,201,14458,9.46,FALSE
58,CHITTUR,189510,,NOTA,,,,NOTA,NOTA,1273,12,1285,0.84,FALSE
58,CHITTUR,189510,5,A. CHANDRAN,MALE,59,SC,BSP,Elephant,907,11,918,0.6,FALSE
58,CHITTUR,189510,6,PRAMEELA. K,FEMALE,55,GENERAL,IND,Battery torch,542,10,552,0.36,FALSE
58,CHITTUR,189510,7,NSK PURAM SASIKUMAR,MALE,44,GENERAL,IND,Football,226,0,226,0.15,FALSE
